GeneID,GeneName,Synonym,Tax_ID,Organism
4916644,CD630_RS09470,CD630_RS09470,272563,Clostridioides difficile 630
4916643,CD630_RS09465,CD630_17380,272563,Clostridioides difficile 630
4916643,CD630_RS09465,CD630_RS09465,272563,Clostridioides difficile 630
4916642,CD630_RS09460,CD630_RS09460,272563,Clostridioides difficile 630
4916642,CD630_RS09460,CD630_17370,272563,Clostridioides difficile 630
4916641,CD630_RS09455,CD630_RS09455,272563,Clostridioides difficile 630
4916641,CD630_RS09455,CD630_17360,272563,Clostridioides difficile 630
4916640,CD630_RS09450,CD630_17350,272563,Clostridioides difficile 630
4916640,CD630_RS09450,CD630_RS09450,272563,Clostridioides difficile 630
4916639,CD630_RS09445,CD630_17340,272563,Clostridioides difficile 630
4916639,CD630_RS09445,CD630_RS09445,272563,Clostridioides difficile 630
4916638,CD630_RS00510,CD630_00490,272563,Clostridioides difficile 630
4916638,CD630_RS00510,CD630_RS00510,272563,Clostridioides difficile 630
4916636,CD630_RS00505,CD630_00480,272563,Clostridioides difficile 630
4916636,CD630_RS00505,CD630_RS00505,272563,Clostridioides difficile 630
4916635,ispD,CD630_00470,272563,Clostridioides difficile 630
4916635,ispD,ispD,272563,Clostridioides difficile 630
4916634,CD630_RS00495,CD630_RS00495,272563,Clostridioides difficile 630
4916634,CD630_RS00495,CD630_00460,272563,Clostridioides difficile 630
4916633,CD630_RS00490,CD630_RS00490,272563,Clostridioides difficile 630
4916633,CD630_RS00490,CD630_00450,272563,Clostridioides difficile 630
4916632,CD630_RS00485,CD630_RS00485,272563,Clostridioides difficile 630
4916632,CD630_RS00485,CD630_00440,272563,Clostridioides difficile 630
4916631,CD630_RS00480,CD630_RS00480,272563,Clostridioides difficile 630
4916631,CD630_RS00480,CD630_00430,272563,Clostridioides difficile 630
4916630,CD630_RS00475,CD630_00420,272563,Clostridioides difficile 630
4916630,CD630_RS00475,CD630_RS00475,272563,Clostridioides difficile 630
4916629,CD630_RS00470,CD630_00410,272563,Clostridioides difficile 630
4916629,CD630_RS00470,CD630_RS00470,272563,Clostridioides difficile 630
4916628,CD630_RS00465,CD630_RS00465,272563,Clostridioides difficile 630
4916628,CD630_RS00465,CD630_00400,272563,Clostridioides difficile 630
4916627,lpdA,lpdA,272563,Clostridioides difficile 630
4916627,lpdA,CD630_00390,272563,Clostridioides difficile 630
4916626,CD630_RS00455,CD630_RS00455,272563,Clostridioides difficile 630
4916626,CD630_RS00455,CD630_00380,272563,Clostridioides difficile 630
4916625,CD630_RS00450,CD630_00370,272563,Clostridioides difficile 630
4916625,CD630_RS00450,CD630_RS00450,272563,Clostridioides difficile 630
4916624,CD630_RS13420,CD630_RS13420,272563,Clostridioides difficile 630
4916624,CD630_RS13420,CD630_24990,272563,Clostridioides difficile 630
4916623,CD630_RS13415,CD630_RS13415,272563,Clostridioides difficile 630
4916623,CD630_RS13415,CD630_24980,272563,Clostridioides difficile 630
4916622,CD630_RS13410,CD630_RS13410,272563,Clostridioides difficile 630
4916622,CD630_RS13410,CD630_24970,272563,Clostridioides difficile 630
4916621,selD,CD630_24960,272563,Clostridioides difficile 630
4916621,selD,selD,272563,Clostridioides difficile 630
4916620,CD630_RS13400,CD630_24950,272563,Clostridioides difficile 630
4916620,CD630_RS13400,CD630_RS13400,272563,Clostridioides difficile 630
4916619,selB,selB,272563,Clostridioides difficile 630
4916619,selB,CD630_24930,272563,Clostridioides difficile 630
4916618,CD630_RS13390,CD630_24920,272563,Clostridioides difficile 630
4916618,CD630_RS13390,CD630_RS13390,272563,Clostridioides difficile 630
4916617,manA,manA,272563,Clostridioides difficile 630
4916617,manA,CD630_24910,272563,Clostridioides difficile 630
4916616,CD630_RS13380,CD630_RS13380,272563,Clostridioides difficile 630
4916616,CD630_RS13380,CD630_24900,272563,Clostridioides difficile 630
4916615,CD630_RS13375,CD630_24890,272563,Clostridioides difficile 630
4916615,CD630_RS13375,CD630_RS13375,272563,Clostridioides difficile 630
4916614,CD630_RS13370,CD630_24880,272563,Clostridioides difficile 630
4916614,CD630_RS13370,CD630_RS13370,272563,Clostridioides difficile 630
4916613,CD630_RS13365,CD630_RS13365,272563,Clostridioides difficile 630
4916613,CD630_RS13365,CD630_24870,272563,Clostridioides difficile 630
4916611,CD630_RS17940,CD630_33740,272563,Clostridioides difficile 630
4916611,CD630_RS17940,CD630_RS17940,272563,Clostridioides difficile 630
4916610,mgtA,CD630_33730,272563,Clostridioides difficile 630
4916610,mgtA,mgtA,272563,Clostridioides difficile 630
4916609,CD630_RS17925,CD630_33720,272563,Clostridioides difficile 630
4916609,CD630_RS17925,CD630_RS17925,272563,Clostridioides difficile 630
4916608,CD630_RS17920,CD630_RS17920,272563,Clostridioides difficile 630
4916608,CD630_RS17920,CD630_33710,272563,Clostridioides difficile 630
4916607,CD630_RS17915,CD630_33701,272563,Clostridioides difficile 630
4916607,CD630_RS17915,CD630_RS17915,272563,Clostridioides difficile 630
4916606,CD630_RS17905,CD630_RS17905,272563,Clostridioides difficile 630
4916606,CD630_RS17905,CD630_33700,272563,Clostridioides difficile 630
4916605,CD630_RS17900,CD630_RS17900,272563,Clostridioides difficile 630
4916605,CD630_RS17900,CD630_33690,272563,Clostridioides difficile 630
4916604,CD630_RS17895,CD630_RS17895,272563,Clostridioides difficile 630
4916604,CD630_RS17895,CD630_33681,272563,Clostridioides difficile 630
4916603,rsgA,CD630_33680,272563,Clostridioides difficile 630
4916603,rsgA,rsgA,272563,Clostridioides difficile 630
4916602,CD630_RS17885,CD630_33670,272563,Clostridioides difficile 630
4916602,CD630_RS17885,CD630_RS17885,272563,Clostridioides difficile 630
4916600,CD630_RS17875,CD630_33650,272563,Clostridioides difficile 630
4916600,CD630_RS17875,CD630_RS17875,272563,Clostridioides difficile 630
4916599,CD630_RS17870,CD630_RS17870,272563,Clostridioides difficile 630
4916599,CD630_RS17870,CD630_33640,272563,Clostridioides difficile 630
4916598,CD630_RS17865,CD630_RS17865,272563,Clostridioides difficile 630
4916598,CD630_RS17865,CD630_33630,272563,Clostridioides difficile 630
4916597,CD630_RS08255,CD630_RS08255,272563,Clostridioides difficile 630
4916597,CD630_RS08255,CD630_15080,272563,Clostridioides difficile 630
4916595,CD630_RS08250,CD630_RS08250,272563,Clostridioides difficile 630
4916595,CD630_RS08250,CD630_15070,272563,Clostridioides difficile 630
4916594,cdeA,CD630_15060,272563,Clostridioides difficile 630
4916594,cdeA,cdeA,272563,Clostridioides difficile 630
4916593,CD630_RS08240,CD630_RS08240,272563,Clostridioides difficile 630
4916593,CD630_RS08240,CD630_15050,272563,Clostridioides difficile 630
4916592,CD630_RS08235,CD630_RS08235,272563,Clostridioides difficile 630
4916592,CD630_RS08235,CD630_15040,272563,Clostridioides difficile 630
4916591,CD630_RS08230,CD630_15030,272563,Clostridioides difficile 630
4916591,CD630_RS08230,CD630_RS08230,272563,Clostridioides difficile 630
4916590,deoC,CD630_15020,272563,Clostridioides difficile 630
4916590,deoC,deoC,272563,Clostridioides difficile 630
4916588,tnpB,CD630_15000,272563,Clostridioides difficile 630
4916588,tnpB,tnpB,272563,Clostridioides difficile 630
4916585,CD630_RS08205,CD630_RS08205,272563,Clostridioides difficile 630
4916585,CD630_RS08205,CD630_14980,272563,Clostridioides difficile 630
4916584,CD630_RS08200,CD630_RS08200,272563,Clostridioides difficile 630
4916584,CD630_RS08200,CD630_14970,272563,Clostridioides difficile 630
4916583,CD630_RS17335,CD630_32590,272563,Clostridioides difficile 630
4916583,CD630_RS17335,CD630_RS17335,272563,Clostridioides difficile 630
4916582,CD630_RS17330,CD630_32580,272563,Clostridioides difficile 630
4916582,CD630_RS17330,CD630_RS17330,272563,Clostridioides difficile 630
4916581,CD630_RS17325,CD630_RS17325,272563,Clostridioides difficile 630
4916581,CD630_RS17325,CD630_32570,272563,Clostridioides difficile 630
4916580,CD630_RS17320,CD630_RS17320,272563,Clostridioides difficile 630
4916580,CD630_RS17320,CD630_32560,272563,Clostridioides difficile 630
4916579,rgaR,CD630_32550,272563,Clostridioides difficile 630
4916579,rgaR,rgaR,272563,Clostridioides difficile 630
4916578,CD630_RS17310,CD630_32540,272563,Clostridioides difficile 630
4916578,CD630_RS17310,CD630_RS17310,272563,Clostridioides difficile 630
4916577,CD630_RS17305,CD630_RS17305,272563,Clostridioides difficile 630
4916577,CD630_RS17305,CD630_32530,272563,Clostridioides difficile 630
4916576,CD630_RS17300,CD630_32520,272563,Clostridioides difficile 630
4916576,CD630_RS17300,CD630_RS17300,272563,Clostridioides difficile 630
4916575,CD630_RS17295,CD630_32510,272563,Clostridioides difficile 630
4916575,CD630_RS17295,CD630_RS17295,272563,Clostridioides difficile 630
4916574,CD630_RS17290,CD630_32500,272563,Clostridioides difficile 630
4916574,CD630_RS17290,CD630_RS17290,272563,Clostridioides difficile 630
4916573,CD630_RS17285,CD630_32490,272563,Clostridioides difficile 630
4916573,CD630_RS17285,CD630_RS17285,272563,Clostridioides difficile 630
4916572,CD630_RS17280,CD630_RS17280,272563,Clostridioides difficile 630
4916572,CD630_RS17280,CD630_32480,272563,Clostridioides difficile 630
4916571,prdC,CD630_32470,272563,Clostridioides difficile 630
4916571,prdC,prdC,272563,Clostridioides difficile 630
4916570,CD630_RS06345,CD630_11330,272563,Clostridioides difficile 630
4916570,CD630_RS06345,CD630_RS06345,272563,Clostridioides difficile 630
4916569,CD630_RS06340,CD630_RS06340,272563,Clostridioides difficile 630
4916569,CD630_RS06340,CD630_11320,272563,Clostridioides difficile 630
4916568,CD630_RS06335,CD630_11310,272563,Clostridioides difficile 630
4916568,CD630_RS06335,CD630_RS06335,272563,Clostridioides difficile 630
4916567,CD630_RS06330,CD630_11300,272563,Clostridioides difficile 630
4916567,CD630_RS06330,CD630_RS06330,272563,Clostridioides difficile 630
4916566,CD630_RS06325,CD630_11290,272563,Clostridioides difficile 630
4916566,CD630_RS06325,CD630_RS06325,272563,Clostridioides difficile 630
4916565,polA,polA,272563,Clostridioides difficile 630
4916565,polA,CD630_11280,272563,Clostridioides difficile 630
4916564,CD630_RS06315,CD630_t0810,272563,Clostridioides difficile 630
4916564,CD630_RS06315,CD630_RS06315,272563,Clostridioides difficile 630
4916563,CD630_RS06310,CD630_RS06310,272563,Clostridioides difficile 630
4916563,CD630_RS06310,CD630_11270,272563,Clostridioides difficile 630
4916562,CD630_RS06305,CD630_RS06305,272563,Clostridioides difficile 630
4916562,CD630_RS06305,CD630_11261,272563,Clostridioides difficile 630
4916561,CD630_RS06300,CD630_11260,272563,Clostridioides difficile 630
4916561,CD630_RS06300,CD630_RS06300,272563,Clostridioides difficile 630
4916560,CD630_RS06295,CD630_RS06295,272563,Clostridioides difficile 630
4916560,CD630_RS06295,CD630_11250,272563,Clostridioides difficile 630
4916559,CD630_RS08325,CD630_RS08325,272563,Clostridioides difficile 630
4916559,CD630_RS08325,CD630_15200,272563,Clostridioides difficile 630
4916558,CD630_RS08320,CD630_RS08320,272563,Clostridioides difficile 630
4916558,CD630_RS08320,CD630_15190,272563,Clostridioides difficile 630
4916557,CD630_RS08315,CD630_RS08315,272563,Clostridioides difficile 630
4916557,CD630_RS08315,CD630_15180,272563,Clostridioides difficile 630
4916556,feoB,CD630_15170,272563,Clostridioides difficile 630
4916556,feoB,feoB,272563,Clostridioides difficile 630
4916555,CD630_RS08305,CD630_15160,272563,Clostridioides difficile 630
4916555,CD630_RS08305,CD630_RS08305,272563,Clostridioides difficile 630
4916554,CD630_RS08295,CD630_RS08295,272563,Clostridioides difficile 630
4916554,CD630_RS08295,CD630_15150,272563,Clostridioides difficile 630
4916553,CD630_RS08290,CD630_15140,272563,Clostridioides difficile 630
4916553,CD630_RS08290,CD630_RS08290,272563,Clostridioides difficile 630
4916552,panB,CD630_15130,272563,Clostridioides difficile 630
4916552,panB,panB,272563,Clostridioides difficile 630
4916551,CD630_RS08280,CD630_RS08280,272563,Clostridioides difficile 630
4916551,CD630_RS08280,CD630_15120,272563,Clostridioides difficile 630
4916550,CD630_RS08270,CD630_15110,272563,Clostridioides difficile 630
4916550,CD630_RS08270,CD630_RS08270,272563,Clostridioides difficile 630
4916549,CD630_RS08265,CD630_15100,272563,Clostridioides difficile 630
4916549,CD630_RS08265,CD630_RS08265,272563,Clostridioides difficile 630
4916548,CD630_RS08260,CD630_RS08260,272563,Clostridioides difficile 630
4916548,CD630_RS08260,CD630_15090,272563,Clostridioides difficile 630
4916547,CD630_RS09440,CD630_17330,272563,Clostridioides difficile 630
4916547,CD630_RS09440,CD630_RS09440,272563,Clostridioides difficile 630
4916546,CD630_RS09435,CD630_17320,272563,Clostridioides difficile 630
4916546,CD630_RS09435,CD630_RS09435,272563,Clostridioides difficile 630
4916545,CD630_RS09430,CD630_RS09430,272563,Clostridioides difficile 630
4916545,CD630_RS09430,CD630_17310,272563,Clostridioides difficile 630
4916544,CD630_RS09425,CD630_17300,272563,Clostridioides difficile 630
4916544,CD630_RS09425,CD630_RS09425,272563,Clostridioides difficile 630
4916542,CD630_RS09410,CD630_RS09410,272563,Clostridioides difficile 630
4916542,CD630_RS09410,CD630_17290,272563,Clostridioides difficile 630
4916541,CD630_RS09400,CD630_17280,272563,Clostridioides difficile 630
4916541,CD630_RS09400,CD630_RS09400,272563,Clostridioides difficile 630
4916540,CD630_RS09395,CD630_17270,272563,Clostridioides difficile 630
4916540,CD630_RS09395,CD630_RS09395,272563,Clostridioides difficile 630
4916539,CD630_RS09390,CD630_17260,272563,Clostridioides difficile 630
4916539,CD630_RS09390,CD630_RS09390,272563,Clostridioides difficile 630
4916538,CD630_RS09385,CD630_17250,272563,Clostridioides difficile 630
4916538,CD630_RS09385,CD630_RS09385,272563,Clostridioides difficile 630
4916537,CD630_RS09380,CD630_17240,272563,Clostridioides difficile 630
4916537,CD630_RS09380,CD630_RS09380,272563,Clostridioides difficile 630
4916536,CD630_RS09375,CD630_RS09375,272563,Clostridioides difficile 630
4916536,CD630_RS09375,CD630_17230,272563,Clostridioides difficile 630
4916535,CD630_RS09370,CD630_17220,272563,Clostridioides difficile 630
4916535,CD630_RS09370,CD630_RS09370,272563,Clostridioides difficile 630
4916534,CD630_RS09365,CD630_17210,272563,Clostridioides difficile 630
4916534,CD630_RS09365,CD630_RS09365,272563,Clostridioides difficile 630
4916533,tnpB,tnpB,272563,Clostridioides difficile 630
4916533,tnpB,CD630_17190,272563,Clostridioides difficile 630
4916532,CD630_RS16655,CD630_RS16655,272563,Clostridioides difficile 630
4916532,CD630_RS16655,CD630_31300,272563,Clostridioides difficile 630
4916531,CD630_RS16650,CD630_31290,272563,Clostridioides difficile 630
4916531,CD630_RS16650,CD630_RS16650,272563,Clostridioides difficile 630
4916530,pgmB,CD630_31280,272563,Clostridioides difficile 630
4916530,pgmB,pgmB,272563,Clostridioides difficile 630
4916529,CD630_RS16640,CD630_RS16640,272563,Clostridioides difficile 630
4916529,CD630_RS16640,CD630_31270,272563,Clostridioides difficile 630
4916528,CD630_RS16635,CD630_31260,272563,Clostridioides difficile 630
4916528,CD630_RS16635,CD630_RS16635,272563,Clostridioides difficile 630
4916527,CD630_RS16630,CD630_RS16630,272563,Clostridioides difficile 630
4916527,CD630_RS16630,CD630_31250,272563,Clostridioides difficile 630
4916526,ascB,CD630_31240,272563,Clostridioides difficile 630
4916526,ascB,ascB,272563,Clostridioides difficile 630
4916525,CD630_RS16620,CD630_RS16620,272563,Clostridioides difficile 630
4916525,CD630_RS16620,CD630_31230,272563,Clostridioides difficile 630
4916524,CD630_RS16615,CD630_RS16615,272563,Clostridioides difficile 630
4916524,CD630_RS16615,CD630_31220,272563,Clostridioides difficile 630
4916523,CD630_RS16610,CD630_31210,272563,Clostridioides difficile 630
4916523,CD630_RS16610,CD630_RS16610,272563,Clostridioides difficile 630
4916521,CD630_RS16605,CD630_31200,272563,Clostridioides difficile 630
4916521,CD630_RS16605,CD630_RS16605,272563,Clostridioides difficile 630
4916520,CD630_RS16600,CD630_RS16600,272563,Clostridioides difficile 630
4916520,CD630_RS16600,CD630_31190,272563,Clostridioides difficile 630
4916519,rpsK,rpsK,272563,Clostridioides difficile 630
4916519,rpsK,CD630_00960,272563,Clostridioides difficile 630
4916518,rpsM,rpsM,272563,Clostridioides difficile 630
4916518,rpsM,CD630_00950,272563,Clostridioides difficile 630
4916517,rpmJ,CD630_00941,272563,Clostridioides difficile 630
4916517,rpmJ,rpmJ,272563,Clostridioides difficile 630
4916516,infA,CD630_00940,272563,Clostridioides difficile 630
4916516,infA,infA,272563,Clostridioides difficile 630
4916515,CD630_RS00750,CD630_RS00750,272563,Clostridioides difficile 630
4916515,CD630_RS00750,CD630_00930,272563,Clostridioides difficile 630
4916514,map,map,272563,Clostridioides difficile 630
4916514,map,CD630_00920,272563,Clostridioides difficile 630
4916513,CD630_RS00740,CD630_RS00740,272563,Clostridioides difficile 630
4916513,CD630_RS00740,CD630_00910,272563,Clostridioides difficile 630
4916512,secY,CD630_00900,272563,Clostridioides difficile 630
4916512,secY,secY,272563,Clostridioides difficile 630
4916511,rplO,CD630_00890,272563,Clostridioides difficile 630
4916511,rplO,rplO,272563,Clostridioides difficile 630
4916510,rpmD,CD630_00881,272563,Clostridioides difficile 630
4916510,rpmD,rpmD,272563,Clostridioides difficile 630
4916509,rpsE,rpsE,272563,Clostridioides difficile 630
4916509,rpsE,CD630_00880,272563,Clostridioides difficile 630
4916508,rplR,rplR,272563,Clostridioides difficile 630
4916508,rplR,CD630_00870,272563,Clostridioides difficile 630
4916507,rplF,CD630_00860,272563,Clostridioides difficile 630
4916507,rplF,rplF,272563,Clostridioides difficile 630
4916506,rpsH,CD630_00850,272563,Clostridioides difficile 630
4916506,rpsH,rpsH,272563,Clostridioides difficile 630
4916505,CD630_RS00445,CD630_RS00445,272563,Clostridioides difficile 630
4916505,CD630_RS00445,CD630_00360,272563,Clostridioides difficile 630
4916504,CD630_RS00440,CD630_RS00440,272563,Clostridioides difficile 630
4916504,CD630_RS00440,CD630_00350,272563,Clostridioides difficile 630
4916503,CD630_RS00435,CD630_00340,272563,Clostridioides difficile 630
4916503,CD630_RS00435,CD630_RS00435,272563,Clostridioides difficile 630
4916502,CD630_RS00430,CD630_RS00430,272563,Clostridioides difficile 630
4916502,CD630_RS00430,CD630_00330,272563,Clostridioides difficile 630
4916501,CD630_RS00425,CD630_00320,272563,Clostridioides difficile 630
4916501,CD630_RS00425,CD630_RS00425,272563,Clostridioides difficile 630
4916500,CD630_RS00420,CD630_RS00420,272563,Clostridioides difficile 630
4916500,CD630_RS00420,CD630_00310,272563,Clostridioides difficile 630
4916499,CD630_RS00415,CD630_RS00415,272563,Clostridioides difficile 630
4916499,CD630_RS00415,CD630_00300,272563,Clostridioides difficile 630
4916498,CD630_RS00410,CD630_00290,272563,Clostridioides difficile 630
4916498,CD630_RS00410,CD630_RS00410,272563,Clostridioides difficile 630
4916497,disA,disA,272563,Clostridioides difficile 630
4916497,disA,CD630_00280,272563,Clostridioides difficile 630
4916496,radA,CD630_00270,272563,Clostridioides difficile 630
4916496,radA,radA,272563,Clostridioides difficile 630
4916495,CD630_RS00395,CD630_00260,272563,Clostridioides difficile 630
4916495,CD630_RS00395,CD630_RS00395,272563,Clostridioides difficile 630
4916494,CD630_RS00390,CD630_00250,272563,Clostridioides difficile 630
4916494,CD630_RS00390,CD630_RS00390,272563,Clostridioides difficile 630
4916493,CD630_RS00385,CD630_00240,272563,Clostridioides difficile 630
4916493,CD630_RS00385,CD630_RS00385,272563,Clostridioides difficile 630
4916492,CD630_RS00380,CD630_RS00380,272563,Clostridioides difficile 630
4916492,CD630_RS00380,CD630_00230,272563,Clostridioides difficile 630
4916491,CD630_RS00375,CD630_RS00375,272563,Clostridioides difficile 630
4916491,CD630_RS00375,CD630_00220,272563,Clostridioides difficile 630
4916490,CD630_RS02445,CD630_RS02445,272563,Clostridioides difficile 630
4916490,CD630_RS02445,CD630_03800,272563,Clostridioides difficile 630
4916489,CD630_RS02440,CD630_03790,272563,Clostridioides difficile 630
4916489,CD630_RS02440,CD630_RS02440,272563,Clostridioides difficile 630
4916488,CD630_RS02430,CD630_RS02430,272563,Clostridioides difficile 630
4916488,CD630_RS02430,CD630_03770,272563,Clostridioides difficile 630
4916487,CD630_RS02425,CD630_03760,272563,Clostridioides difficile 630
4916487,CD630_RS02425,CD630_RS02425,272563,Clostridioides difficile 630
4916486,CD630_RS02420,CD630_RS02420,272563,Clostridioides difficile 630
4916486,CD630_RS02420,CD630_03750,272563,Clostridioides difficile 630
4916485,CD630_RS02415,CD630_RS02415,272563,Clostridioides difficile 630
4916485,CD630_RS02415,CD630_03740,272563,Clostridioides difficile 630
4916484,CD630_RS02410,CD630_03730,272563,Clostridioides difficile 630
4916484,CD630_RS02410,CD630_RS02410,272563,Clostridioides difficile 630
4916483,CD630_RS02405,CD630_RS02405,272563,Clostridioides difficile 630
4916483,CD630_RS02405,CD630_03720,272563,Clostridioides difficile 630
4916482,CD630_RS02400,CD630_RS02400,272563,Clostridioides difficile 630
4916482,CD630_RS02400,CD630_03710,272563,Clostridioides difficile 630
4916481,CD630_RS02395,CD630_03700,272563,Clostridioides difficile 630
4916481,CD630_RS02395,CD630_RS02395,272563,Clostridioides difficile 630
4916480,CD630_RS02390,CD630_03690,272563,Clostridioides difficile 630
4916480,CD630_RS02390,CD630_RS02390,272563,Clostridioides difficile 630
4916479,CD630_RS02385,CD630_03680,272563,Clostridioides difficile 630
4916479,CD630_RS02385,CD630_RS02385,272563,Clostridioides difficile 630
4916478,CD630_RS02380,CD630_03670,272563,Clostridioides difficile 630
4916478,CD630_RS02380,CD630_RS02380,272563,Clostridioides difficile 630
4916477,CD630_RS02375,CD630_03660,272563,Clostridioides difficile 630
4916477,CD630_RS02375,CD630_RS02375,272563,Clostridioides difficile 630
4916476,CD630_RS12375,CD630_22910,272563,Clostridioides difficile 630
4916476,CD630_RS12375,CD630_RS12375,272563,Clostridioides difficile 630
4916475,CD630_RS12370,CD630_22900,272563,Clostridioides difficile 630
4916475,CD630_RS12370,CD630_RS12370,272563,Clostridioides difficile 630
4916474,CD630_RS12365,CD630_22890,272563,Clostridioides difficile 630
4916474,CD630_RS12365,CD630_RS12365,272563,Clostridioides difficile 630
4916473,CD630_RS12360,CD630_RS12360,272563,Clostridioides difficile 630
4916473,CD630_RS12360,CD630_22880,272563,Clostridioides difficile 630
4916472,CD630_RS12355,CD630_RS12355,272563,Clostridioides difficile 630
4916472,CD630_RS12355,CD630_22870,272563,Clostridioides difficile 630
4916471,CD630_RS12350,CD630_22860,272563,Clostridioides difficile 630
4916471,CD630_RS12350,CD630_RS12350,272563,Clostridioides difficile 630
4916470,CD630_RS12345,CD630_RS12345,272563,Clostridioides difficile 630
4916470,CD630_RS12345,CD630_22850,272563,Clostridioides difficile 630
4916469,CD630_RS12340,CD630_22840,272563,Clostridioides difficile 630
4916469,CD630_RS12340,CD630_RS12340,272563,Clostridioides difficile 630
4916468,CD630_RS12335,CD630_22830,272563,Clostridioides difficile 630
4916468,CD630_RS12335,CD630_RS12335,272563,Clostridioides difficile 630
4916467,CD630_RS12330,CD630_RS12330,272563,Clostridioides difficile 630
4916467,CD630_RS12330,CD630_22820,272563,Clostridioides difficile 630
4916466,CD630_RS12325,CD630_22810,272563,Clostridioides difficile 630
4916466,CD630_RS12325,CD630_RS12325,272563,Clostridioides difficile 630
4916465,CD630_RS12320,CD630_RS12320,272563,Clostridioides difficile 630
4916465,CD630_RS12320,CD630_22800,272563,Clostridioides difficile 630
4916464,CD630_RS12315,CD630_RS12315,272563,Clostridioides difficile 630
4916464,CD630_RS12315,CD630_22790,272563,Clostridioides difficile 630
4916463,araD,CD630_22780,272563,Clostridioides difficile 630
4916463,araD,araD,272563,Clostridioides difficile 630
4916462,CD630_RS13285,CD630_24720,272563,Clostridioides difficile 630
4916462,CD630_RS13285,CD630_RS13285,272563,Clostridioides difficile 630
4916461,CD630_RS13280,CD630_24710,272563,Clostridioides difficile 630
4916461,CD630_RS13280,CD630_RS13280,272563,Clostridioides difficile 630
4916460,CD630_RS13275,CD630_24700,272563,Clostridioides difficile 630
4916460,CD630_RS13275,CD630_RS13275,272563,Clostridioides difficile 630
4916459,CD630_RS13270,CD630_RS13270,272563,Clostridioides difficile 630
4916459,CD630_RS13270,CD630_24690,272563,Clostridioides difficile 630
4916458,CD630_RS13265,CD630_24680,272563,Clostridioides difficile 630
4916458,CD630_RS13265,CD630_RS13265,272563,Clostridioides difficile 630
4916457,lepA,lepA,272563,Clostridioides difficile 630
4916457,lepA,CD630_24670,272563,Clostridioides difficile 630
4916456,CD630_RS13255,CD630_24660,272563,Clostridioides difficile 630
4916456,CD630_RS13255,CD630_RS13255,272563,Clostridioides difficile 630
4916455,CD630_RS13250,CD630_24650,272563,Clostridioides difficile 630
4916455,CD630_RS13250,CD630_RS13250,272563,Clostridioides difficile 630
4916454,CD630_RS13245,CD630_RS13245,272563,Clostridioides difficile 630
4916454,CD630_RS13245,CD630_24640,272563,Clostridioides difficile 630
4916453,hrcA,CD630_24630,272563,Clostridioides difficile 630
4916453,hrcA,hrcA,272563,Clostridioides difficile 630
4916452,grpE,grpE,272563,Clostridioides difficile 630
4916452,grpE,CD630_24620,272563,Clostridioides difficile 630
4916451,dnaK,CD630_24610,272563,Clostridioides difficile 630
4916451,dnaK,dnaK,272563,Clostridioides difficile 630
4916450,dnaJ,dnaJ,272563,Clostridioides difficile 630
4916450,dnaJ,CD630_24600,272563,Clostridioides difficile 630
4916449,CD630_RS13220,CD630_24590,272563,Clostridioides difficile 630
4916449,CD630_RS13220,CD630_RS13220,272563,Clostridioides difficile 630
4916448,CD630_RS11510,CD630_RS11510,272563,Clostridioides difficile 630
4916448,CD630_RS11510,CD630_21210,272563,Clostridioides difficile 630
4916447,CD630_RS11505,CD630_RS11505,272563,Clostridioides difficile 630
4916447,CD630_RS11505,CD630_21200,272563,Clostridioides difficile 630
4916446,CD630_RS11500,CD630_RS11500,272563,Clostridioides difficile 630
4916446,CD630_RS11500,CD630_21190,272563,Clostridioides difficile 630
4916445,CD630_RS11495,CD630_21180,272563,Clostridioides difficile 630
4916445,CD630_RS11495,CD630_RS11495,272563,Clostridioides difficile 630
4916443,trxB,CD630_21170,272563,Clostridioides difficile 630
4916443,trxB,trxB,272563,Clostridioides difficile 630
4916442,typA,typA,272563,Clostridioides difficile 630
4916442,typA,CD630_21160,272563,Clostridioides difficile 630
4916441,CD630_RS11470,CD630_RS11470,272563,Clostridioides difficile 630
4916441,CD630_RS11470,CD630_21150,272563,Clostridioides difficile 630
4916440,CD630_RS11465,CD630_21140,272563,Clostridioides difficile 630
4916440,CD630_RS11465,CD630_RS11465,272563,Clostridioides difficile 630
4916439,CD630_RS11460,CD630_RS11460,272563,Clostridioides difficile 630
4916439,CD630_RS11460,CD630_21130,272563,Clostridioides difficile 630
4916438,CD630_RS11455,CD630_RS11455,272563,Clostridioides difficile 630
4916438,CD630_RS11455,CD630_21120,272563,Clostridioides difficile 630
4916437,CD630_RS11450,CD630_21110,272563,Clostridioides difficile 630
4916437,CD630_RS11450,CD630_RS11450,272563,Clostridioides difficile 630
4916436,fsa,CD630_21100,272563,Clostridioides difficile 630
4916436,fsa,fsa,272563,Clostridioides difficile 630
4916435,CD630_RS11440,CD630_21090,272563,Clostridioides difficile 630
4916435,CD630_RS11440,CD630_RS11440,272563,Clostridioides difficile 630
4916434,CD630_RS02370,CD630_RS02370,272563,Clostridioides difficile 630
4916434,CD630_RS02370,CD630_03650,272563,Clostridioides difficile 630
4916433,CD630_RS02365,CD630_03640,272563,Clostridioides difficile 630
4916433,CD630_RS02365,CD630_RS02365,272563,Clostridioides difficile 630
4916432,CD630_RS02360,CD630_03630,272563,Clostridioides difficile 630
